"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2021","1,785.50","1,789.60","1,816.30","1,778.60","-","-0.38%"
"Nov 25, 2021","1,792.40","1,789.80","1,795.30","1,787.75","-","0.45%"
"Nov 24, 2021","1,784.30","1,789.80","1,796.20","1,777.40","203.24K","0.03%"
"Nov 23, 2021","1,783.80","1,807.10","1,812.50","1,781.70","311.35K","-1.25%"
"Nov 22, 2021","1,806.30","1,848.30","1,850.40","1,802.40","352.86K","-2.45%"
"Nov 19, 2021","1,851.60","1,860.80","1,868.10","1,844.20","234.08K","-0.53%"
"Nov 18, 2021","1,861.40","1,869.50","1,873.30","1,856.60","186.06K","-0.47%"
"Nov 17, 2021","1,870.20","1,851.60","1,870.60","1,851.10","172.42K","0.87%"
"Nov 16, 2021","1,854.10","1,864.90","1,879.50","1,851.00","220.43K","-0.67%"
"Nov 15, 2021","1,866.60","1,872.60","1,873.00","1,858.50","221.21K","-0.10%"
"Nov 12, 2021","1,868.50","1,864.30","1,871.40","1,847.50","201.36K","0.25%"
"Nov 11, 2021","1,863.90","1,851.50","1,868.70","1,845.10","205.31K","0.84%"
"Nov 10, 2021","1,848.30","1,834.50","1,870.60","1,823.00","352.79K","0.96%"
"Nov 09, 2021","1,830.80","1,826.90","1,834.80","1,821.00","224.41K","0.15%"
"Nov 08, 2021","1,828.00","1,820.60","1,828.30","1,813.80","200.41K","0.62%"
"Nov 05, 2021","1,816.80","1,792.60","1,820.10","1,785.30","299.62K","1.30%"
"Nov 04, 2021","1,793.50","1,769.90","1,800.30","1,769.30","222.61K","1.68%"
"Nov 03, 2021","1,763.90","1,789.20","1,789.30","1,758.50","257.43K","-1.43%"
"Nov 02, 2021","1,789.40","1,794.80","1,797.80","1,787.40","145.79K","-0.36%"
"Nov 01, 2021","1,795.80","1,785.30","1,797.50","1,780.20","143.33K","0.67%"
"Oct 29, 2021","1,783.90","1,801.50","1,802.90","1,772.40","254.51K","-1.04%"
"Oct 28, 2021","1,802.60","1,798.70","1,812.70","1,793.10","220.88K","0.21%"
"Oct 27, 2021","1,798.80","1,795.00","1,801.00","1,784.30","182.80K","0.30%"
"Oct 26, 2021","1,793.40","1,808.70","1,809.80","1,783.00","197.93K","-0.74%"
"Oct 25, 2021","1,806.80","1,794.20","1,811.50","1,793.00","153.59K","0.58%"
"Oct 22, 2021","1,796.30","1,783.70","1,815.50","1,783.40","312.81K","0.81%"
"Oct 21, 2021","1,781.90","1,782.50","1,790.30","1,776.80","138.73K","-0.17%"
"Oct 20, 2021","1,784.90","1,769.40","1,789.60","1,767.10","174.08K","0.81%"
"Oct 19, 2021","1,770.50","1,764.80","1,786.00","1,763.40","166.97K","0.27%"
"Oct 18, 2021","1,765.70","1,767.50","1,772.50","1,760.30","152.74K","-0.15%"
"Oct 15, 2021","1,768.30","1,797.30","1,797.70","1,765.10","202.63K","-1.65%"
"Oct 14, 2021","1,797.90","1,793.60","1,801.90","1,787.60","164.65K","0.18%"
"Oct 13, 2021","1,794.70","1,760.40","1,797.40","1,757.90","299.04K","2.01%"
