date,price_treasury,price_oil,price_S&P,price_gold,close_BTC,close_DASH,close_ETH,BTC_return,DASH_return,ETH_return,Daily_Death_Global,Daily_Infection_Global,topic_ratio,exposure_ratio,panic_index
2020-01-02,1.877,61.18,3257.85,1572.1,8.845780134953916,3.6846455035818746,4.842689903246808,-3.19625665393144,-4.717364782431869,-2.558782849239269,0.0,0.0,0.0,0.0,0.0
2020-01-03,1.793,63.05,3234.85,1596.4,8.900337704807301,3.7774396310934164,4.89910765260238,5.607327264716291,9.41591768269785,5.803958678337659,0.0,0.0,0.0,0.0,0.0
2020-01-06,1.809,63.27,3246.28,1613.3,8.957334084737266,4.039413078695882,4.971131874318556,5.563667509584801,11.24539685027031,6.562707856034288,0.0,0.0,0.0,0.0,0.0
2020-01-07,1.811,62.7,3237.18,1618.7,9.006818058959142,3.9976868081806654,4.963403914390817,5.072875333402883,-4.086771257021108,-0.7766990291261971,0.0,0.0,0.0,0.0,0.0
2020-01-08,1.874,59.61,3253.05,1603.8,8.992869450829263,3.9601081592314005,4.9459189793765646,-1.4031845549208886,-3.938550554802791,-1.7332960581492998,0.0,0.0,0.0,0.0,0.0
2020-01-09,1.855,59.56,3274.7,1597.8,8.96364412062435,3.9243665099593845,4.925150024739034,-2.907272218943186,-2.984016252060246,-2.0833333333333184,0.0,0.0,0.0,0.0,0.0
2020-01-10,1.82,59.04,3265.35,1603.3,9.011656479291409,4.039712366569035,4.97480084108704,4.918362175541165,12.466097836200593,5.082776648271856,0.0,0.0,0.0,0.0,0.0
2020-01-13,1.848,58.08,3288.13,1593.7,9.00017474195223,4.240808632758344,4.96640471918284,-0.9327927185694376,5.001889501927288,-2.0743773456158445,0.0,0.0,0.0,0.0,0.0
2020-01-14,1.813,58.23,3283.15,1587.5,9.084288367435068,4.4880069582111135,5.110540959071118,8.76048657718121,27.59694148363868,15.512195121951214,0.0,0.0,0.0,0.0,0.0
2020-01-15,1.786,57.81,3289.29,1596.6,9.083507636027145,4.8828322251575464,5.113733252099823,-0.0427797534887676,48.05958095921753,0.3318450585253909,0.0,0.0,0.0,0.0,0.0
2020-01-16,1.809,58.52,3316.81,1593.0,9.07277341884859,4.844690896532854,5.099439507438365,-1.0676811056203876,-4.443759259398539,-1.4073494917904632,0.0,0.0,0.0,0.0,0.0
2020-01-17,1.825,58.54,3329.62,1603.4,9.093741385057344,4.725057672400497,5.1333837593553096,2.11881667559786,-11.23280552427896,3.408536585365856,0.0,0.0,0.0,0.0,0.0
2020-01-21,1.774,58.34,3320.79,1601.0,9.073607287974875,4.701116527035301,5.131022343770705,1.0793972341749778,1.0502543010851324,1.5180607224288978,0.0,0.0,0.0,0.0,0.0
2020-01-22,1.769,56.74,3321.75,1599.7,9.066513880501407,4.67692324465119,5.122057401132677,-0.7068308639158711,-2.334396902015337,-0.9510307755921704,0.0,0.0,0.0,0.0,0.0
2020-01-23,1.731,55.59,3325.54,1608.3,9.034225911241679,4.627205612848703,5.090062427727577,-3.177227789080847,-4.851965264656889,-3.177726107434558,1.0,98.0,0.0,0.0,0.0
2020-01-24,1.686,54.19,3295.47,1615.4,9.039226968506323,4.609162207257629,5.089446474520545,0.5014781979223072,-2.1604607423721203,-0.1169302726321605,8.0,286.0,0.0,0.0,0.0
2020-01-27,1.613,53.14,3243.63,1620.8,9.093352520077376,4.725634069403229,5.134444579822542,3.5015706806282623,1.5310393245785434,1.3068385248836365,26.0,809.0,1.22,4.19,1.34
2020-01-28,1.661,53.48,3276.24,1613.2,9.147879690633577,4.754417435052617,5.17042717524212,5.6042356353171865,3.1029644233672578,3.657674637766526,49.0,2651.0,15.14,0.22,0.99
2020-01-29,1.581,53.33,3273.4,1614.5,9.136525895210013,4.796955156430402,5.155889373415759,-1.0935839525339726,4.732551203022473,-1.3984423853106749,2.0,589.0,0.0,0.0,0.0
2020-01-30,1.591,52.14,3283.66,1627.3,9.159371235570072,4.806338030578406,5.217920429476008,2.316777743085092,0.2311456463471582,6.424081656190539,38.0,2068.0,12.27,0.16,1.22
2020-01-31,1.505,51.56,3225.52,1626.1,9.14152391349897,4.754314066976033,5.191511362230227,-1.7650754363755137,-4.978471915262834,-2.5905050942987216,42.0,1692.0,13.42,0.17,1.34
2020-02-03,1.526,50.11,3248.92,1621.0,9.135669626110422,4.745297279078916,5.243966771797955,-0.4774257614737189,0.9140350877192996,0.637551801083832,64.0,3100.0,1.42,0.4,1.48
2020-02-04,1.603,49.61,3297.59,1595.0,9.1230740534008,4.7037658716930295,5.237717744419107,-1.2516580482280557,-4.046393545245888,-0.6177076183939536,66.0,4011.0,0.0,0.0,0.0
2020-02-05,1.649,50.75,3334.69,1602.2,9.170956925582566,4.812151834518417,5.318119993844216,4.904777545112406,11.446771109882835,8.366533864541832,72.0,3745.0,0.0,0.0,0.0
2020-02-06,1.644,50.95,3345.78,1609.5,9.186356033500472,4.787758373899477,5.3610573963692225,1.5508778426259489,-2.4130081300813035,4.382138130483799,70.0,3162.0,0.0,0.0,0.0
2020-02-07,1.582,50.32,3327.71,1612.8,9.190958756042281,4.775486635654614,5.408157832227569,0.4613331339412646,-1.2196747533990924,4.827650981497135,85.0,3594.0,0.0,0.0,0.0
2020-02-10,1.563,49.57,3352.09,1618.2,9.195407428499829,4.849534965751029,5.406498899392565,-3.113383082424304,-0.5274310911668978,-2.600524475524483,107.0,2608.0,2.11,0.26,1.69
2020-02-11,1.602,49.94,3357.75,1608.8,9.236983276631964,4.865231801392906,5.472186636527008,4.245222690721875,1.603553355163173,6.784528403481996,100.0,2042.0,10.55,0.16,1.04
2020-02-12,1.637,51.17,3379.45,1609.8,9.244850971477911,4.896779536577762,5.585336719449719,0.7898726486147432,2.954229062353391,11.975293079541157,5.0,418.0,0.0,0.0,0.0
2020-02-13,1.619,51.42,3373.94,1617.0,9.233714066395756,4.874319075058708,5.59255291796966,-1.1075119334797208,-2.030719022739878,0.6713423095675732,253.0,15152.0,0.0,0.0,0.0
2020-02-14,1.588,52.05,3380.16,1624.1,9.246800547580179,4.892197043833656,5.656935421423358,1.317248392759629,1.8287696881233144,6.669896039050556,152.0,6528.0,0.0,0.0,0.0
2020-02-18,1.559,52.05,3370.29,1641.1,9.228969762279313,4.7540125157078785,5.646541704483886,5.031340206185576,0.912173913043484,5.633855331841914,140.0,1882.0,6.01,0.16,1.05
2020-02-19,1.568,53.29,3386.15,1649.5,9.169526710754539,4.649904517328262,5.5555144579870985,-5.77108060039027,-9.679397488383335,-8.710383285099157,115.0,500.0,0.0,0.0,0.0
2020-02-20,1.519,53.78,3373.23,1658.0,9.170564704864434,4.6571362540126975,5.5506312951620265,0.1727214733339696,0.7710852594520103,-0.4293837762562429,125.0,560.0,10.07,0.12,0.63
2020-02-21,1.473,53.38,3337.75,1686.3,9.179433641687668,4.680342591431642,5.582744146279145,0.8908382370539236,2.643029200902587,3.343701399688967,4.0,629.0,0.0,0.0,0.0
2020-02-24,1.37,51.43,3225.89,1713.5,9.175748927206564,4.639977327493497,5.580898953610859,-3.0607124937280483,-4.218238330465673,-3.69173805720924,160.0,568.0,1.62,0.19,1.58
2020-02-25,1.355,49.9,3128.21,1686.4,9.13830716907635,4.559063418287841,5.5073619934827445,-3.674948240165632,-7.990403422393947,-7.166798478514659,80.0,854.0,0.0,0.0,0.0
2020-02-26,1.335,48.73,3116.39,1678.2,9.080038046014147,4.437402210201648,5.409411414053624,-5.6602962496467,-11.35491581573815,-9.249634562286827,61.0,977.0,0.0,0.0,0.0
2020-02-27,1.274,47.09,2978.76,1676.4,9.083925312368107,4.490937091826667,5.427721503759297,0.3894831573311519,6.00209140385484,1.7204397175797632,43.0,1359.0,9.75,0.19,1.68
2020-02-28,1.163,44.76,2954.22,1596.6,9.072099622000962,4.482573081273453,5.426578646492048,-1.2026228317961658,-1.2281994595922314,-0.1010544815465684,59.0,1388.0,0.0,0.0,0.0
2020-03-02,1.152,46.75,3090.23,1620.6,9.09549053029724,4.504277452688201,5.447254479322408,4.607911009938641,7.354233463959164,6.800404895555351,89.0,1979.0,2.17,0.5900000000000001,3.0
2020-03-03,0.999,47.18,3003.37,1670.0,9.077704578183274,4.486228979911192,5.410529357154965,-1.8092409529543425,-1.2742961348574486,-3.605893503360333,74.0,2601.0,0.0,0.0,0.0
2020-03-04,1.055,46.78,3130.12,1666.9,9.078026523558089,4.463975217321049,5.414142932053627,0.0323139407821335,-2.3635504981222075,0.3754693366708401,95.0,2302.0,6.73,0.61,2.59
2020-03-05,0.917,45.9,3023.94,1690.5,9.112746286042684,4.499798559157425,5.432148714181557,3.540871621999572,3.2524895599100474,1.8486346830593687,93.0,2818.0,5.92,0.36,2.84
2020-03-06,0.773,41.28,2972.37,1691.6,9.122438780681534,4.543294782270004,5.5035413165592955,0.973850574079014,4.445604951166129,7.419072615923014,113.0,3916.0,6.45,0.64,2.83
2020-03-09,0.559,31.13,2746.56,1691.5,8.97897813963744,4.30092503323684,5.312072331780373,-1.2840690095337757,0.0922659430122087,1.6340033081048666,190.0,4181.0,2.3,0.48,5.23
2020-03-10,0.8,34.36,2882.23,1676.6,8.973944393886033,4.313854854570548,5.300814246746624,-0.5026113609324286,1.5753918090499963,-1.114618267902935,276.0,4823.0,9.11,0.21,4.78
2020-03-11,0.877,32.98,2741.38,1658.3,8.979422932138997,4.27874728521988,5.270997555893074,0.5493572887058106,-3.2932566649241943,-3.0005482729402293,345.0,7659.0,6.12,0.43,4.26
2020-03-12,0.812,31.5,2480.64,1606.5,8.488196830974646,3.7996602534572945,4.703203926259457,-38.81242874509483,-38.06514206514207,-43.32545473229884,309.0,5799.0,0.0,0.0,0.0
2020-03-13,0.983,31.73,2711.02,1532.2,8.637213722012813,3.9450321590350916,4.909045438334623,16.06925943464207,15.73501746842246,22.855847688123298,492.0,14351.0,5.42,0.41,6.06
2020-03-16,0.74,28.7,2386.13,1500.0,8.52468704224482,3.773220602547687,4.7129477781615225,-5.783768417351492,-8.778401945166419,-9.689451066245036,687.0,14793.0,1.02,0.4599999999999999,8.8
