,open_BTC,high_BTC,low_BTC,close_BTC,volume_BTC,price_treasury,open_treasury,high_treasury,low_treasury,change%_treasury,price_oil,open_oil,high_oil,low_oil,volume_oil,chnage%_oil,price_S&P,open_S&P,high_S&P,low_S&P,volume_S&P,change%_S&P,price_gold,open_gold,high_gold,low_gold,volume_gold,change%_gold
2020-01-02,7174.33,7186.18,6903.0,6945.02,8010.92738748,1.877,1.919,1.946,1.851,-2.29%,61.18,61.6,61.6,60.64,486.87K,-0.24%,"3,257.85","3,244.67","3,258.14","3,235.53",-,0.84%,"1,572.10","1,548.70","1,559.50","1,548.20",1.25K,3.36%
2020-01-03,6945.02,7401.2,6854.67,7334.45,14056.39238489,1.793,1.842,1.844,1.786,-4.46%,63.05,61.18,64.09,61.13,885.86K,3.06%,"3,234.85","3,226.36","3,246.15","3,222.34",-,-0.71%,"1,596.40","1,591.00","1,592.10","1,588.60",0.41K,1.55%
2020-01-06,7355.4,7805.0,7343.17,7764.63,11770.42968139,1.809,1.769,1.816,1.76,2.37%,63.27,63.71,64.72,62.64,724.24K,0.35%,"3,246.28","3,217.55","3,246.84","3,214.64",-,0.35%,"1,613.30","1,608.20","1,612.40","1,600.30",0.01K,1.06%
2020-01-07,7764.63,8216.0,7723.0,8158.52,19857.45754518,1.811,1.813,1.828,1.795,0.10%,62.7,62.91,63.15,62.11,582.65K,-0.90%,"3,237.18","3,241.86","3,244.91","3,232.43",-,-0.28%,"1,618.70","1,602.60","1,602.60","1,602.60",0.07K,0.33%
2020-01-08,8160.01,8469.39,7845.0,8045.51,23927.67532995,1.874,1.767,1.877,1.705,3.48%,59.61,62.84,65.65,59.15,1.21M,-4.93%,"3,253.05","3,238.59","3,267.07","3,236.67",-,0.49%,"1,603.80","1,612.60","1,638.40","1,612.60",0.02K,-0.92%
2020-01-09,8047.75,8048.67,7744.48,7813.78,9477.65983784,1.855,1.87,1.9,1.849,-1.03%,59.56,59.99,60.31,58.66,750.93K,-0.08%,"3,274.70","3,266.03","3,275.58","3,263.67",-,0.67%,"1,597.80","1,583.00","1,587.50","1,570.20",1.43K,-0.37%
2020-01-10,7813.78,8199.77,7671.0,8198.09,13419.69851238,1.82,1.858,1.869,1.816,-1.88%,59.04,59.61,59.78,58.85,596.19K,-0.87%,"3,265.35","3,281.81","3,282.99","3,260.86",-,-0.29%,"1,603.30","1,577.60","1,589.60","1,574.10",0.11K,0.34%
2020-01-13,8180.81,8195.81,8041.95,8104.5,6678.02840315,1.848,1.82,1.858,1.82,1.54%,58.08,59.04,59.27,57.91,584.00K,-1.63%,"3,288.13","3,271.13","3,288.13","3,268.43",-,0.70%,"1,593.70","1,586.80","1,586.80","1,574.90",2.70K,-0.60%
2020-01-14,8105.6,8893.69,8105.23,8815.69,27075.8082207,1.813,1.851,1.863,1.811,-1.89%,58.23,58.03,58.72,57.72,507.71K,0.26%,"3,283.15","3,285.35","3,294.25","3,277.19",-,-0.15%,"1,587.50","1,573.20","1,573.90","1,563.40",1.76K,-0.39%
2020-01-15,8812.58,8900.0,8550.0,8808.81,14977.61979023,1.786,1.807,1.818,1.78,-1.45%,57.81,58.2,58.36,57.36,433.17K,-0.72%,"3,289.29","3,282.27","3,298.66","3,280.69",-,0.19%,"1,596.60","1,587.80","1,587.80","1,587.80",0.00K,0.57%
2020-01-16,8808.81,8850.0,8580.0,8714.76,9265.76423506,1.809,1.792,1.82,1.776,1.27%,58.52,58.1,58.87,57.56,182.87K,1.23%,"3,316.81","3,302.97","3,317.11","3,302.82",-,0.84%,"1,593.00","1,580.40","1,583.40","1,575.00",0.03K,-0.23%
2020-01-17,8714.77,9013.0,8665.67,8899.42,15447.36512517,1.825,1.823,1.849,1.813,0.88%,58.54,58.59,58.98,58.27,122.56K,0.03%,"3,329.62","3,323.66","3,329.88","3,318.86",-,0.39%,"1,603.40","1,578.60","1,588.00","1,577.10",1.54K,0.65%
2020-01-21,8628.89,8774.31,8465.0,8722.03,7520.65103045,1.774,1.823,1.825,1.766,-2.68%,58.34,59.17,59.73,57.68,50.18K,-0.66%,"3,320.79","3,321.03","3,329.79","3,316.61",-,-0.27%,"1,601.00","1,595.00","1,595.00","1,595.00",0.00K,2.55%
2020-01-22,8722.03,8791.76,8565.0,8660.38,5481.36960818,1.769,1.783,1.793,1.759,-0.29%,56.74,58.26,58.38,56.03,620.12K,-2.74%,"3,321.75","3,330.02","3,337.77","3,320.04",-,0.03%,"1,599.70","1,583.10","1,585.50","1,577.60",0.07K,-0.08%
2020-01-23,8660.38,8665.0,8278.0,8385.22,12206.24491133,1.731,1.764,1.766,1.713,-2.16%,55.59,56.11,56.27,54.77,704.00K,-2.03%,"3,325.54","3,315.77","3,326.88","3,301.87",-,0.11%,"1,608.30","1,585.00","1,593.50","1,580.10",1.75K,0.54%
2020-01-24,8385.21,8509.99,8216.71,8427.26,8634.96792308,1.686,1.741,1.762,1.67,-2.61%,54.19,55.69,55.95,53.85,586.20K,-2.52%,"3,295.47","3,333.10","3,333.18","3,281.53",-,-0.90%,"1,615.40","1,595.00","1,609.50","1,595.00",0.05K,0.44%
2020-01-27,8595.0,8985.0,8556.6,8895.96,9548.60475006,1.613,1.63,1.655,1.598,-0.95%,53.14,53.7,53.71,52.13,712.88K,-1.94%,"3,243.63","3,247.16","3,258.85","3,234.50",-,-1.57%,"1,620.80","1,616.80","1,617.80","1,616.80",0.00K,0.33%
2020-01-28,8895.95,9418.91,8880.87,9394.5,17578.54006083,1.661,1.612,1.663,1.57,2.99%,53.48,52.77,54.06,52.68,633.96K,0.64%,"3,276.24","3,255.35","3,285.78","3,253.22",-,1.01%,"1,613.20","1,606.70","1,607.10","1,593.40",10.91K,-0.47%
2020-01-29,9391.14,9439.83,9224.75,9288.44,12233.05063864,1.581,1.648,1.667,1.579,-4.87%,53.33,53.97,54.37,52.81,624.98K,-0.28%,"3,273.40","3,289.46","3,293.47","3,271.89",-,-0.09%,"1,614.50","1,594.50","1,603.60","1,589.30",0.03K,0.08%
2020-01-30,9287.9,9574.68,9171.11,9503.08,12948.39766745,1.591,1.587,1.594,1.534,0.65%,52.14,53.09,53.2,51.66,720.12K,-2.23%,"3,283.66","3,256.45","3,285.91","3,242.80",-,0.31%,"1,627.30","1,601.60","1,612.00","1,599.00",0.03K,0.79%
2020-01-31,9502.71,9522.5,9195.49,9334.98,9719.06131452,1.505,1.582,1.599,1.503,-5.38%,51.56,52.92,53.36,50.97,827.91K,-1.11%,"3,225.52","3,282.33","3,282.33","3,214.68",-,-1.77%,"1,626.10","1,599.70","1,615.30","1,597.70",0.00K,-0.07%
2020-02-03,9325.01,9619.95,9220.0,9280.49,11910.28572971,1.526,1.514,1.575,1.512,0.67%,50.11,51.01,51.97,49.8,876.04K,-2.81%,"3,248.92","3,235.66","3,268.44","3,235.66",-,0.73%,"1,621.00","1,606.00","1,606.00","1,606.00",0.00K,-0.31%
2020-02-04,9280.49,9350.0,9078.05,9164.33,8190.74898707,1.603,1.52,1.618,1.517,5.05%,49.61,49.94,51.55,49.31,859.36K,-1.00%,"3,297.59","3,280.61","3,306.92","3,280.61",-,1.50%,"1,595.00","1,602.30","1,602.30","1,576.00",0.03K,-1.60%
2020-02-05,9164.33,9769.7,9150.0,9613.82,13267.06193659,1.649,1.604,1.661,1.575,2.90%,50.75,49.51,51.88,49.47,887.95K,2.30%,"3,334.69","3,324.91","3,337.58","3,313.75",-,1.13%,"1,602.20","1,579.40","1,587.00","1,573.00",2.05K,0.45%
2020-02-06,9613.91,9857.0,9521.47,9763.01,12672.13678163,1.644,1.649,1.684,1.633,-0.32%,50.95,51.17,52.2,50.24,750.66K,0.39%,"3,345.78","3,344.92","3,347.96","3,334.39",-,0.33%,"1,609.50","1,580.70","1,592.40","1,579.30",0.07K,0.46%
2020-02-07,9763.01,9885.0,9713.99,9808.05,8516.62840515,1.582,1.644,1.649,1.571,-3.78%,50.32,51.11,51.48,50.09,768.35K,-1.24%,"3,327.71","3,335.54","3,341.42","3,322.12",-,-0.54%,"1,612.80","1,591.00","1,598.30","1,588.40",0.00K,0.21%
2020-02-10,10168.36,10199.0,9736.0,9851.78,13249.58715176,1.563,1.561,1.599,1.542,0.22%,49.57,50.12,50.49,49.42,715.89K,-1.49%,"3,352.09","3,318.28","3,352.26","3,317.77",-,0.73%,"1,618.20","1,606.70","1,606.70","1,606.70",0.00K,0.33%
2020-02-11,9851.78,10400.0,9706.0,10270.01,16722.06581913,1.602,1.573,1.604,1.571,2.53%,49.94,49.61,50.69,49.58,725.73K,0.75%,"3,357.75","3,365.87","3,375.63","3,352.72",-,0.17%,"1,608.80","1,606.70","1,606.90","1,606.70",0.00K,-0.58%
