,open_BTC,high_BTC,low_BTC,close_BTC,volume_BTC,price_treasury,open_treasury,high_treasury,low_treasury,change%_treasury,price_oil,open_oil,high_oil,low_oil,volume_oil,chnage%_oil,price_S&P,open_S&P,high_S&P,low_S&P,volume_S&P,change%_S&P,price_gold,open_gold,high_gold,low_gold,volume_gold,change%_gold
2020-02-12,10270.01,10483.86,10250.0,10351.13,13740.9848527,1.637,1.607,1.638,1.597,2.15%,51.17,49.96,51.73,49.95,795.26K,2.46%,"3,379.45","3,370.50","3,381.47","3,369.72",-,0.65%,"1,609.80","1,590.80","1,593.90","1,587.50",2.05K,0.06%
2020-02-13,10351.13,10522.51,10083.1,10236.49,17101.28534969,1.619,1.607,1.626,1.568,-1.09%,51.42,51.72,51.96,50.6,745.40K,0.49%,"3,373.94","3,365.90","3,385.09","3,360.52",-,-0.16%,"1,617.00","1,607.90","1,608.10","1,607.90",0.00K,0.45%
2020-02-14,10236.49,10395.66,10102.5,10371.33,8026.49620683,1.588,1.609,1.616,1.573,-1.90%,52.05,51.51,52.34,51.32,607.34K,1.23%,"3,380.16","3,378.08","3,380.69","3,366.15",-,0.18%,"1,624.10","1,601.00","1,608.40","1,597.30",0.03K,0.44%
2020-02-18,9700.0,10298.25,9610.27,10188.04,11606.56132767,1.559,1.576,1.58,1.537,-1.19%,52.05,52.23,52.41,50.88,221.77K,-0.29%,"3,370.29","3,369.04","3,375.01","3,355.61",-,-0.29%,"1,641.10","1,617.30","1,634.80","1,617.30",0.07K,3.41%
2020-02-19,10188.04,10315.0,9280.98,9600.08,16637.05014888,1.568,1.571,1.587,1.547,0.55%,53.29,52.12,53.66,51.93,113.68K,2.38%,"3,386.15","3,380.39","3,393.52","3,378.83",-,0.47%,"1,649.50","1,639.80","1,641.40","1,636.20",0.04K,0.51%
2020-02-20,9593.48,9698.1,9393.39,9610.05,12382.01006133,1.519,1.578,1.585,1.507,-3.14%,53.78,53.5,54.5,53.22,30.67K,0.92%,"3,373.23","3,380.45","3,389.15","3,341.02",-,-0.38%,"1,658.00","1,641.40","1,651.90","1,641.40",0.12K,0.52%
2020-02-21,9610.05,9769.66,9566.98,9695.66,7073.36617743,1.473,1.515,1.524,1.439,-3.01%,53.38,53.74,53.86,52.55,707.56K,-0.74%,"3,337.75","3,360.50","3,360.76","3,328.45",-,-1.05%,"1,686.30","1,672.30","1,678.10","1,672.30",0.08K,1.71%
2020-02-24,9965.0,10030.0,9474.74,9660.0,11274.83220813,1.37,1.456,1.456,1.352,-6.95%,51.43,52.6,52.64,50.45,765.52K,-3.65%,"3,225.89","3,257.61","3,259.81","3,214.65",-,-3.35%,"1,713.50","1,707.40","1,707.40","1,707.40",0.02K,1.61%
2020-02-25,9660.0,9681.56,9230.0,9305.0,9370.80406077,1.355,1.387,1.416,1.307,-1.10%,49.9,51.37,52.02,49.69,764.99K,-2.97%,"3,128.21","3,238.94","3,246.99","3,118.77",-,-3.03%,"1,686.40","1,681.00","1,683.60","1,681.00",0.54K,-1.58%
2020-02-26,9304.99,9375.36,8602.0,8778.3,21610.46289952,1.335,1.359,1.382,1.301,-1.48%,48.73,50.08,50.44,48.3,884.48K,-2.34%,"3,116.39","3,139.90","3,182.51","3,108.99",-,-0.38%,"1,678.20","1,677.60","1,677.60","1,677.60",0.02K,-0.49%
2020-02-27,8778.3,8972.92,8520.0,8812.49,14781.02020263,1.274,1.33,1.335,1.241,-4.61%,47.09,48.63,48.78,45.88,1.01M,-3.37%,"2,978.76","3,062.54","3,097.07","2,977.39",-,-4.42%,"1,676.40","1,679.00","1,684.40","1,670.00",0.01K,-0.11%
2020-02-28,8814.9,8899.94,8428.8,8708.89,13643.28590301,1.163,1.282,1.289,1.116,-8.68%,44.76,46.49,47.03,43.85,1.10M,-4.95%,"2,954.22","2,916.90","2,959.72","2,855.84",-,-0.82%,"1,596.60","1,595.20","1,617.80","1,595.20",0.56K,-4.76%
2020-03-02,8522.3,8973.45,8487.33,8915.0,10216.69254477,1.152,1.105,1.168,1.03,4.43%,46.75,43.7,47.56,43.32,949.47K,4.45%,"3,090.23","2,974.28","3,090.96","2,945.19",-,4.60%,"1,620.60","1,602.50","1,624.30","1,600.20",0.25K,1.50%
2020-03-03,8919.21,8927.45,8635.31,8757.84,9152.7069265,0.999,1.163,1.173,0.906,-13.27%,47.18,47.72,48.66,46.47,1.01M,0.92%,"3,003.37","3,096.46","3,136.72","2,976.63",-,-2.81%,"1,670.00","1,606.50","1,663.80","1,606.50",0.06K,3.05%
2020-03-04,8757.83,8847.0,8670.57,8760.66,5688.58509691,1.055,0.984,1.064,0.931,5.65%,46.78,46.94,48.41,46.65,745.86K,-0.85%,"3,130.12","3,045.75","3,130.97","3,034.38",-,4.22%,"1,666.90","1,664.20","1,664.50","1,664.20",0.22K,-0.19%
2020-03-05,8759.99,9174.24,8759.99,9070.17,10073.31421239,0.917,1.054,1.054,0.899,-13.13%,45.9,47.13,47.57,45.65,704.59K,-1.88%,"3,023.94","3,075.70","3,083.04","2,999.83",-,-3.39%,"1,690.50","1,655.70","1,671.00","1,655.20",0.18K,1.42%
2020-03-06,9070.18,9182.08,9000.01,9158.51,6422.12885254,0.773,0.918,0.92,0.66,-15.65%,41.28,46.09,46.38,41.05,1.28M,-10.07%,"2,972.37","2,954.20","2,985.93","2,901.54",-,-1.71%,"1,691.60","1,696.00","1,703.60","1,686.30",0.07K,0.07%
2020-03-09,8037.73,8187.03,7630.0,7934.52,25563.61417462,0.559,0.501,0.603,0.318,11.30%,31.13,32.87,34.88,27.34,1.77M,-24.59%,"2,746.56","2,863.89","2,863.89","2,734.43",-,-7.60%,"1,691.50","1,709.90","1,710.10","1,672.90",0.13K,-0.01%
2020-03-10,7934.56,8158.25,7733.56,7894.68,17172.47130109,0.8,0.617,0.813,0.565,43.00%,34.36,30.37,35.02,30.2,1.06M,10.38%,"2,882.23","2,813.48","2,882.59","2,734.00",-,4.94%,"1,676.60","1,675.90","1,675.90","1,662.10",0.19K,-0.88%
2020-03-11,7894.68,7987.97,7583.27,7938.05,13647.86513876,0.877,0.759,0.895,0.638,9.71%,32.98,34.62,36.35,32.56,874.65K,-4.02%,"2,741.38","2,825.60","2,825.60","2,707.22",-,-4.89%,"1,658.30","1,670.00","1,670.00","1,653.10",0.03K,-1.09%
2020-03-12,7938.05,7969.45,4644.0,4857.1,113902.20332904,0.812,0.849,0.909,0.636,-7.45%,31.5,33.07,33.63,30.02,1.03M,-4.49%,"2,480.64","2,630.86","2,660.95","2,478.86",-,-9.51%,"1,606.50","1,654.30","1,654.30","1,581.50",0.01K,-3.12%
2020-03-13,4857.1,5995.0,3858.0,5637.6,130316.64684438,0.983,0.823,1.023,0.725,21.03%,31.73,30.77,33.87,30.33,743.13K,0.73%,"2,711.02","2,569.99","2,711.33","2,492.37",-,9.29%,"1,532.20","1,591.00","1,591.00","1,529.30",0.10K,-4.62%
2020-03-16,5346.86,5350.3,4432.3,5037.61,80184.03685247,0.74,0.668,0.859,0.634,8.74%,28.7,33.75,33.75,28.1,698.83K,-9.55%,"2,386.13","2,508.59","2,562.98","2,380.94",-,-11.98%,"1,500.00","1,485.00","1,503.00","1,485.00",0.01K,-2.10%
2020-03-17,5039.95,5569.44,4935.6,5331.71,44347.15487325,1.069,0.747,1.105,0.74,44.37%,26.95,28.69,30.3,26.63,545.82K,-6.10%,"2,529.19","2,425.66","2,553.93","2,367.04",-,6.00%,"1,541.10","1,504.50","1,561.50","1,476.30",0.01K,2.74%
2020-03-18,5331.71,5452.82,5001.0,5413.64,37513.03523454,1.183,1.044,1.266,0.989,10.73%,20.37,26.94,27.22,20.06,309.48K,-24.42%,"2,398.10","2,436.50","2,453.57","2,280.52",-,-5.18%,"1,494.60","1,520.60","1,520.60","1,502.30",0.32K,-3.02%
2020-03-19,5413.88,6441.37,5261.69,6186.26,54666.67461085,1.158,1.149,1.279,1.007,-2.10%,25.22,22.3,27.71,21.36,136.72K,23.81%,"2,409.39","2,393.48","2,466.97","2,319.78",-,0.47%,"1,497.20","1,496.60","1,508.00","1,476.90",0.01K,0.17%
2020-03-20,6183.82,6990.0,5657.0,6206.1,53024.40103701,0.885,1.125,1.283,0.849,-23.58%,22.43,24.73,27.89,19.46,29.76K,-11.06%,"2,304.92","2,431.94","2,453.01","2,295.56",-,-4.34%,"1,501.40","1,515.80","1,515.80","1,515.80",0.01K,0.28%
2020-03-23,5815.24,6641.03,5678.2,6490.63,42437.97070062,0.763,0.791,0.879,0.692,-3.82%,23.36,22.52,24.07,20.8,852.95K,4.15%,"2,237.40","2,290.71","2,300.73","2,191.86",-,-2.93%,"1,588.30","1,514.60","1,572.80","1,502.60",0.01K,5.79%
2020-03-24,6493.58,6866.1,6403.16,6766.64,40618.19870698,0.858,0.775,0.898,0.774,12.48%,24.01,23.87,25.16,23.09,659.70K,2.78%,"2,447.33","2,344.44","2,449.71","2,344.44",-,9.38%,"1,669.20","1,594.60","1,653.50","1,594.60",0.03K,5.09%
2020-03-25,6766.0,6983.31,6470.0,6690.96,31266.36827545,0.869,0.853,0.878,0.783,1.28%,24.49,24.37,25.24,22.91,618.73K,2.00%,"2,475.56","2,457.77","2,571.42","2,407.53",-,1.15%,"1,639.00","1,650.90","1,656.60","1,650.50",0.06K,-1.81%
2020-03-26,6691.71,6795.0,6520.13,6758.18,17456.11705058,0.848,0.827,0.859,0.77,-2.41%,22.6,24.25,24.65,22.38,633.88K,-7.72%,"2,630.07","2,501.29","2,637.01","2,500.72",-,6.24%,"1,668.30","1,674.30","1,674.30","1,659.40",0.01K,1.79%
2020-03-27,6760.0,6880.0,6260.0,6372.36,20458.24402051,0.676,0.84,0.854,0.67,-20.25%,21.51,23.29,23.44,20.88,603.12K,-4.82%,"2,541.47","2,555.87","2,615.91","2,520.02",-,-3.37%,"1,661.00","1,647.10","1,647.10","1,647.10",0.27K,-0.44%
2020-03-30,5878.98,6631.23,5853.0,6406.4,23659.80264153,0.726,0.667,0.731,0.599,9.20%,20.09,20.93,20.93,19.27,758.71K,-6.60%,"2,626.65","2,558.98","2,631.80","2,545.28",-,3.35%,"1,649.30","1,646.90","1,646.90","1,646.90",0.10K,-0.70%
2020-03-31,6406.4,6524.79,6333.91,6424.35,11939.0253308,0.668,0.722,0.731,0.651,-8.05%,20.48,20.23,21.89,20.01,660.08K,1.94%,"2,584.59","2,614.69","2,641.39","2,571.15",-,-1.60%,"1,602.70","1,625.30","1,625.30","1,625.30",0.06K,-2.83%
2020-04-01,6424.02,6744.99,6160.0,6666.11,17900.2508585,0.602,0.663,0.676,0.571,-9.88%,20.31,20.1,21.55,19.9,703.29K,-0.83%,"2,470.50","2,498.08","2,522.75","2,447.49",-,-4.41%,"1,597.60","1,594.40","1,594.40","1,594.40",0.18K,-0.32%
2020-04-02,6666.11,7292.11,6570.92,6804.52,28761.00804113,0.611,0.572,0.636,0.568,1.53%,25.32,21.22,27.39,20.76,1.10M,24.67%,"2,526.90","2,458.54","2,533.22","2,455.79",-,2.28%,"1,642.70","1,636.40","1,636.40","1,636.40",0.29K,2.82%
2020-04-03,6804.24,7050.0,6606.06,6741.99,14953.17963657,0.599,0.611,0.623,0.568,-1.91%,28.34,24.81,29.13,23.52,1.01M,11.93%,"2,488.65","2,514.92","2,538.18","2,459.96",-,-1.51%,"1,650.10","1,639.00","1,651.50","1,625.30",0.14K,0.45%
2020-04-06,6778.64,7373.37,6773.28,7341.56,27992.01318781,0.678,0.617,0.684,0.612,10.46%,26.08,26.09,28.24,25.28,752.71K,-7.97%,"2,663.68","2,578.28","2,676.85","2,574.57",-,7.03%,"1,696.00","1,685.30","1,688.60","1,685.30",0.00K,2.78%
2020-04-07,7341.55,7466.0,7073.0,7200.01,22743.06622044,0.726,0.695,0.785,0.678,7.19%,23.63,26.34,27.24,23.54,797.71K,-9.39%,"2,659.41","2,738.65","2,756.89","2,657.67",-,-0.16%,"1,685.40","1,688.80","1,688.80","1,688.80",0.02K,-0.62%
2020-04-08,7200.01,7430.0,7154.22,7370.11,15429.12191833,0.771,0.717,0.779,0.695,6.08%,25.09,24.3,26.45,23.74,823.55K,6.18%,"2,749.98","2,685.00","2,760.75","2,663.30",-,3.41%,"1,685.80","1,690.10","1,690.10","1,690.10",0.02K,0.02%
2020-04-09,7370.38,7377.0,7110.0,7293.24,12369.84267516,0.729,0.783,0.785,0.711,-5.45%,22.76,26.28,28.36,22.57,1.12M,-9.29%,"2,789.82","2,776.99","2,818.57","2,762.36",-,1.45%,"1,755.40","1,747.50","1,747.50","1,747.50",0.00K,4.13%
2020-04-13,6908.12,6908.13,6555.0,6861.21,22323.76661709,0.77,0.725,0.776,0.719,6.11%,22.41,24.6,24.74,22.03,775.12K,-1.54%,"2,761.63","2,782.46","2,782.46","2,721.17",-,-1.01%,"1,764.60","1,732.50","1,758.00","1,732.50",0.03K,1.38%
2020-04-14,6860.51,6997.38,6771.41,6877.37,12868.6061641,0.75,0.765,0.776,0.728,-2.51%,20.11,22.36,23.08,19.95,785.48K,-10.26%,"2,846.06","2,805.10","2,851.85","2,805.10",-,3.06%,"1,773.50","1,779.10","1,779.10","1,776.50",0.01K,0.50%
2020-04-15,6876.92,6940.0,6605.89,6624.12,14753.81361034,0.635,0.746,0.752,0.618,-15.41%,19.87,20.72,20.89,19.2,544.80K,-1.19%,"2,783.36","2,795.64","2,801.88","2,761.54",-,-2.20%,"1,748.20","1,760.70","1,762.70","1,736.40",0.00K,-1.43%
2020-04-16,6623.62,7217.27,6456.0,7112.64,28117.55707545,0.617,0.638,0.658,0.594,-2.76%,19.87,20.15,20.53,19.42,350.94K,0.00%,"2,799.55","2,799.34","2,806.51","2,764.32",-,0.58%,"1,739.40","1,766.50","1,766.50","1,766.50",0.00K,-0.50%
2020-04-17,7114.76,7156.66,7000.0,7037.46,13514.57644149,0.642,0.672,0.693,0.587,3.95%,18.27,20.0,20.22,17.31,240.63K,-8.05%,"2,874.56","2,842.43","2,879.22","2,830.88",-,2.68%,"1,705.60","1,717.80","1,717.80","1,717.80",0.02K,-1.94%
2020-04-20,7130.7,7227.11,6748.72,6838.19,18396.60555727,0.616,0.642,0.651,0.609,-4.20%,-37.63,17.73,17.85,-40.32,247.95K,-305.97%,"2,823.16","2,845.62","2,868.98","2,820.43",-,-1.79%,"1,718.00","1,715.60","1,715.60","1,715.60",0.00K,0.73%
2020-04-21,6837.22,6959.0,6776.0,6853.68,14467.84248756,0.566,0.616,0.623,0.543,-8.18%,10.01,-14.0,13.86,-16.74,18.44K,-126.60%,"2,736.56","2,784.81","2,785.54","2,727.10",-,-3.07%,"1,694.90","1,722.20","1,722.20","1,679.60",0.08K,-1.34%
2020-04-22,6853.67,7167.37,6826.0,7136.84,13141.14072302,0.618,0.58,0.638,0.547,9.12%,13.78,13.12,16.18,10.26,1.24M,37.66%,"2,799.31","2,787.89","2,815.10","2,775.95",-,2.29%,"1,746.50","1,709.50","1,709.50","1,709.50",0.01K,3.04%
2020-04-23,7136.81,7775.0,7031.14,7488.83,22759.36481812,0.603,0.611,0.638,0.59,-2.33%,16.5,14.2,18.26,13.35,833.58K,19.74%,"2,797.80","2,810.42","2,844.90","2,794.26",-,-0.05%,"1,754.50","1,753.10","1,762.20","1,753.10",0.00K,0.46%
2020-04-24,7491.5,7612.24,7390.0,7514.64,13764.56695369,0.605,0.605,0.621,0.579,0.40%,16.94,16.78,17.97,15.64,600.22K,2.67%,"2,836.74","2,812.64","2,842.71","2,791.76",-,1.39%,"1,745.60","1,759.00","1,759.00","1,745.00",0.00K,-0.51%
2020-04-27,7706.4,7810.99,7635.69,7789.77,15455.7361195,0.664,0.605,0.665,0.601,9.61%,12.78,16.84,16.98,11.88,623.20K,-24.56%,"2,878.48","2,854.65","2,887.72","2,852.89",-,1.47%,"1,735.50","1,746.70","1,753.00","1,726.80",0.13K,-0.58%
2020-04-28,7789.77,7794.74,7672.0,7755.01,10984.76643504,0.616,0.665,0.673,0.594,-7.17%,12.34,12.96,13.69,10.07,897.09K,-3.44%,"2,863.39","2,909.96","2,921.15","2,860.71",-,-0.52%,"1,735.40","1,731.80","1,740.00","1,712.70",3.06K,-0.01%
2020-04-29,7757.18,8988.0,7720.0,8793.75,48689.75030108,0.628,0.613,0.643,0.581,2.01%,15.06,13.35,16.78,12.67,554.13K,22.04%,"2,939.51","2,918.46","2,954.86","2,912.16",-,2.66%,"1,727.00","1,727.60","1,744.10","1,727.60",0.01K,-0.48%
2020-04-30,8794.99,9478.66,8407.0,8624.28,44843.9646793,0.646,0.622,0.65,0.581,2.72%,18.84,15.64,19.44,15.45,545.34K,25.10%,"2,912.43","2,930.91","2,930.91","2,892.47",-,-0.92%,"1,709.90","1,706.40","1,706.40","1,706.40",0.05K,-0.99%
2020-05-01,8624.68,9075.98,8622.72,8829.42,21660.21988892,0.618,0.63,0.648,0.594,-4.26%,19.78,19.04,20.48,18.07,403.20K,4.99%,"2,830.71","2,869.09","2,869.09","2,821.61",-,-2.81%,"1,717.80","1,720.10","1,720.10","1,720.10",0.01K,0.46%
2020-05-04,8907.85,8970.0,8533.98,8883.53,18380.62654424,0.631,0.605,0.651,0.596,2.01%,20.39,19.11,21.42,18.05,311.49K,3.08%,"2,842.74","2,815.01","2,844.24","2,797.85",-,0.42%,"1,737.70","1,729.10","1,729.10","1,725.70",0.03K,1.16%
2020-05-05,8887.81,9126.27,8769.69,9028.79,16392.29936609,0.662,0.638,0.678,0.638,4.98%,24.56,21.24,25.49,21.13,387.24K,20.45%,"2,868.44","2,868.88","2,898.23","2,863.55",-,0.90%,"1,740.50","1,725.80","1,739.10","1,725.80",0.40K,0.16%
2020-05-06,9028.78,9418.0,8922.13,9155.79,27650.87868274,0.709,0.678,0.743,0.668,7.18%,23.99,25.52,26.08,22.58,381.17K,-2.32%,"2,848.42","2,883.14","2,891.11","2,847.65",-,-0.70%,"1,718.40","1,728.40","1,728.40","1,713.00",0.01K,-1.27%
2020-05-07,9155.79,10079.0,9028.89,10004.77,39447.57511824,0.639,0.687,0.717,0.62,-9.88%,23.55,24.09,26.74,22.94,310.26K,-1.83%,"2,881.19","2,878.26","2,901.92","2,876.48",-,1.15%,"1,757.60","1,718.90","1,722.80","1,718.50",0.05K,2.28%
2020-05-08,10000.37,10049.0,9730.0,9810.0,26363.71688893,0.685,0.642,0.686,0.607,7.10%,24.74,23.35,24.99,23.26,205.18K,5.05%,"2,929.80","2,908.83","2,932.16","2,902.88",-,1.69%,"1,748.30","1,747.80","1,747.80","1,747.80",0.00K,-0.53%
2020-05-11,8729.86,9182.66,8185.0,8572.4,39999.37731433,0.707,0.694,0.728,0.672,2.04%,24.14,24.49,25.58,23.67,179.59K,-2.43%,"2,930.32","2,915.46","2,944.25","2,903.44",-,0.02%,"1,731.50","1,727.70","1,734.20","1,714.20",0.05K,-0.96%
2020-05-12,8572.4,8982.9,8534.85,8821.42,20219.23699186,0.667,0.711,0.726,0.66,-5.66%,25.78,24.49,26.23,24.22,212.34K,6.79%,"2,870.12","2,939.50","2,945.82","2,869.59",-,-2.05%,"1,738.50","1,733.20","1,734.50","1,731.90",0.01K,0.40%
