time,low_BTC,high_BTC,open_BTC,close_BTC,volume_BTC
2020-01-01,7136.05,7238.14,7165.72,7174.33,3350.63004888
2020-01-02,6903.0,7186.18,7174.33,6945.02,8010.92738748
2020-01-03,6854.67,7401.2,6945.02,7334.45,14056.39238489
2020-01-04,7263.32,7398.0,7334.45,7348.63,4742.46620989
2020-01-05,7312.22,7488.87,7348.63,7355.4,5942.01494574
2020-01-06,7343.17,7805.0,7355.4,7764.63,11770.42968139
2020-01-07,7723.0,8216.0,7764.63,8158.52,19857.45754518
2020-01-08,7845.0,8469.39,8160.01,8045.51,23927.67532995
2020-01-09,7744.48,8048.67,8047.75,7813.78,9477.65983784
2020-01-10,7671.0,8199.77,7813.78,8198.09,13419.69851238
2020-01-11,8000.01,8290.0,8198.09,8020.0,7557.36879269
2020-01-12,7963.25,8185.0,8017.47,8180.81,3920.74009838
2020-01-13,8041.95,8195.81,8180.81,8104.5,6678.02840315
2020-01-14,8105.23,8893.69,8105.6,8815.69,27075.8082207
2020-01-15,8550.0,8900.0,8812.58,8808.81,14977.61979023
2020-01-16,8580.0,8850.0,8808.81,8714.76,9265.76423506
2020-01-17,8665.67,9013.0,8714.77,8899.42,15447.36512517
2020-01-18,8800.1,8980.0,8899.42,8909.32,5600.21827844
2020-01-19,8465.0,9194.99,8908.95,8697.53,15218.51476182
2020-01-20,8504.06,8734.84,8697.53,8628.89,5605.80561385
2020-01-21,8465.0,8774.31,8628.89,8722.03,7520.65103045
2020-01-22,8565.0,8791.76,8722.03,8660.38,5481.36960818
2020-01-23,8278.0,8665.0,8660.38,8385.22,12206.24491133
2020-01-24,8216.71,8509.99,8385.21,8427.26,8634.96792308
2020-01-25,8252.73,8437.76,8427.58,8326.81,3783.20831697
2020-01-26,8278.68,8595.0,8326.8,8595.0,5497.32293973
2020-01-27,8556.6,8985.0,8595.0,8895.96,9548.60475006
2020-01-28,8880.87,9418.91,8895.95,9394.5,17578.54006083
2020-01-29,9224.75,9439.83,9391.14,9288.44,12233.05063864
2020-01-30,9171.11,9574.68,9287.9,9503.08,12948.39766745
2020-01-31,9195.49,9522.5,9502.71,9334.98,9719.06131452
2020-02-01,9285.01,9458.08,9334.98,9380.18,4387.41986202
2020-02-02,9140.0,9480.0,9380.18,9323.5,7307.92291459
2020-02-03,9220.0,9619.95,9325.01,9280.49,11910.28572971
2020-02-04,9078.05,9350.0,9280.49,9164.33,8190.74898707
2020-02-05,9150.0,9769.7,9164.33,9613.82,13267.06193659
2020-02-06,9521.47,9857.0,9613.91,9763.01,12672.13678163
2020-02-07,9713.99,9885.0,9763.01,9808.05,8516.62840515
2020-02-08,9653.47,9955.0,9807.92,9905.64,8100.97112281
2020-02-09,9888.76,10178.91,9905.64,10168.35,9649.74938704
2020-02-10,9736.0,10199.0,10168.36,9851.78,13249.58715176
2020-02-11,9706.0,10400.0,9851.78,10270.01,16722.06581913
2020-02-12,10250.0,10483.86,10270.01,10351.13,13740.9848527
2020-02-13,10083.1,10522.51,10351.13,10236.49,17101.28534969
2020-02-14,10102.5,10395.66,10236.49,10371.33,8026.49620683
2020-02-15,9750.0,10400.0,10371.33,9911.22,12323.28859704
2020-02-16,9612.12,10048.34,9911.22,9921.0,9430.32887897
2020-02-17,9467.0,9969.38,9920.52,9700.0,10144.62802455
2020-02-18,9610.27,10298.25,9700.0,10188.04,11606.56132767
2020-02-19,9280.98,10315.0,10188.04,9600.08,16637.05014888
2020-02-20,9393.39,9698.1,9593.48,9610.05,12382.01006133
2020-02-21,9566.98,9769.66,9610.05,9695.66,7073.36617743
2020-02-22,9575.01,9722.97,9695.66,9668.23,3301.24362823
2020-02-23,9667.13,10025.66,9668.23,9965.01,5631.93728472
2020-02-24,9474.74,10030.0,9965.0,9660.0,11274.83220813
2020-02-25,9230.0,9681.56,9660.0,9305.0,9370.80406077
2020-02-26,8602.0,9375.36,9304.99,8778.3,21610.46289952
2020-02-27,8520.0,8972.92,8778.3,8812.49,14781.02020263
2020-02-28,8428.8,8899.94,8814.9,8708.89,13643.28590301
2020-02-29,8520.67,8799.0,8708.61,8525.07,5142.70830477
2020-03-01,8400.0,8752.34,8523.33,8522.31,7353.13960471
2020-03-02,8487.33,8973.45,8522.3,8915.0,10216.69254477
2020-03-03,8635.31,8927.45,8919.21,8757.84,9152.7069265
2020-03-04,8670.57,8847.0,8757.83,8760.66,5688.58509691
2020-03-05,8759.99,9174.24,8759.99,9070.17,10073.31421239
2020-03-06,9000.01,9182.08,9070.18,9158.51,6422.12885254
2020-03-07,8850.47,9214.67,9158.51,8901.37,6478.25334502
2020-03-08,8002.2,8901.37,8901.36,8037.76,16591.91410216
2020-03-09,7630.0,8187.03,8037.73,7934.52,25563.61417462
2020-03-10,7733.56,8158.25,7934.56,7894.68,17172.47130109
2020-03-11,7583.27,7987.97,7894.68,7938.05,13647.86513876
2020-03-12,4644.0,7969.45,7938.05,4857.1,113902.20332904
2020-03-13,3858.0,5995.0,4857.1,5637.6,130316.64684438
2020-03-14,5050.0,5669.0,5630.93,5165.25,32760.12278053
2020-03-15,5085.91,5985.0,5161.16,5345.35,43763.76236813
2020-03-16,4432.3,5350.3,5346.86,5037.61,80184.03685247
2020-03-17,4935.6,5569.44,5039.95,5331.71,44347.15487325
2020-03-18,5001.0,5452.82,5331.71,5413.64,37513.03523454
2020-03-19,5261.69,6441.37,5413.88,6186.26,54666.67461085
2020-03-20,5657.0,6990.0,6183.82,6206.1,53024.40103701
2020-03-21,5851.0,6470.0,6210.47,6198.78,23514.96653599
2020-03-22,5738.0,6420.0,6198.64,5818.25,28089.48698286
2020-03-23,5678.2,6641.03,5815.24,6490.63,42437.97070062
2020-03-24,6403.16,6866.1,6493.58,6766.64,40618.19870698
2020-03-25,6470.0,6983.31,6766.0,6690.96,31266.36827545
2020-03-26,6520.13,6795.0,6691.71,6758.18,17456.11705058
2020-03-27,6260.0,6880.0,6760.0,6372.36,20458.24402051
2020-03-28,6030.0,6372.36,6372.36,6251.82,20353.8748456
2020-03-29,5870.46,6279.96,6251.45,5877.21,16111.23637843
2020-03-30,5853.0,6631.23,5878.98,6406.4,23659.80264153
2020-03-31,6333.91,6524.79,6406.4,6424.35,11939.0253308
2020-04-01,6160.0,6744.99,6424.02,6666.11,17900.2508585
2020-04-02,6570.92,7292.11,6666.11,6804.52,28761.00804113
2020-04-03,6606.06,7050.0,6804.24,6741.99,14953.17963657
2020-04-04,6658.16,7025.53,6741.99,6874.77,10217.67907796
2020-04-05,6681.0,6925.0,6874.77,6778.25,8962.91059819
2020-04-06,6773.28,7373.37,6778.64,7341.56,27992.01318781
2020-04-07,7073.0,7466.0,7341.55,7200.01,22743.06622044
2020-04-08,7154.22,7430.0,7200.01,7370.11,15429.12191833
2020-04-09,7110.0,7377.0,7370.38,7293.24,12369.84267516
2020-04-10,6750.0,7305.91,7293.23,6871.91,19671.19020798
2020-04-11,6775.0,6955.0,6871.83,6889.65,8066.07536876
2020-04-12,6787.44,7200.0,6889.78,6908.13,12733.98839119
2020-04-13,6555.0,6908.13,6908.12,6861.21,22323.76661709
2020-04-14,6771.41,6997.38,6860.51,6877.37,12868.6061641
2020-04-15,6605.89,6940.0,6876.92,6624.12,14753.81361034
2020-04-16,6456.0,7217.27,6623.62,7112.64,28117.55707545
2020-04-17,7000.0,7156.66,7114.76,7037.46,13514.57644149
2020-04-18,7021.0,7308.0,7036.45,7261.76,11510.52116868
2020-04-19,7063.02,7275.0,7262.04,7130.71,8887.88875146
2020-04-20,6748.72,7227.11,7130.7,6838.19,18396.60555727
2020-04-21,6776.0,6959.0,6837.22,6853.68,14467.84248756
2020-04-22,6826.0,7167.37,6853.67,7136.84,13141.14072302
2020-04-23,7031.14,7775.0,7136.81,7488.83,22759.36481812
2020-04-24,7390.0,7612.24,7491.5,7514.64,13764.56695369
2020-04-25,7437.94,7720.0,7514.99,7547.61,7443.79619621
2020-04-26,7490.0,7715.0,7547.61,7706.4,9292.64077746
2020-04-27,7635.69,7810.99,7706.4,7789.77,15455.7361195
2020-04-28,7672.0,7794.74,7789.77,7755.01,10984.76643504
2020-04-29,7720.0,8988.0,7757.18,8793.75,48689.75030108
2020-04-30,8407.0,9478.66,8794.99,8624.28,44843.9646793
2020-05-01,8622.72,9075.98,8624.68,8829.42,21660.21988892
2020-05-02,8762.01,9025.0,8829.42,8985.58,10539.26528999
2020-05-03,8731.01,9203.52,8984.69,8909.95,17147.65372312
2020-05-04,8533.98,8970.0,8907.85,8883.53,18380.62654424
2020-05-05,8769.69,9126.27,8887.81,9028.79,16392.29936609
2020-05-06,8922.13,9418.0,9028.78,9155.79,27650.87868274
2020-05-07,9028.89,10079.0,9155.79,10004.77,39447.57511824
2020-05-08,9730.0,10049.0,10000.37,9810.0,26363.71688893
2020-05-09,9521.0,9920.73,9810.01,9537.21,17931.1748552
2020-05-10,8106.7,9559.98,9537.21,8729.86,50909.84429757
2020-05-11,8185.0,9182.66,8729.86,8572.4,39999.37731433
2020-05-12,8534.85,8982.9,8572.4,8821.42,20219.23699186
2020-05-13,8803.97,9420.18,8821.41,9321.26,21357.63022841
2020-05-14,9257.15,9943.93,9320.85,9795.34,28752.36041568
2020-05-15,9120.0,9849.0,9795.34,9312.1,25180.97967322
2020-05-16,9215.01,9594.99,9312.1,9383.16,10782.32773503
2020-05-17,9325.81,9896.0,9380.01,9676.63,13540.66294076
2020-05-18,9436.97,9957.25,9677.45,9728.52,17710.29958398
2020-05-19,9463.22,9898.0,9728.52,9783.76,15229.62610784
2020-05-20,9294.54,9836.99,9783.57,9509.41,16895.54925055
2020-05-21,8800.0,9568.0,9509.4,9061.96,28081.22890941
2020-05-22,8923.5,9267.34,9059.32,9168.84,13731.91887098
2020-05-23,9090.11,9313.83,9168.84,9181.76,6878.84791748
2020-05-24,8680.7,9306.23,9181.09,8715.73,13004.34567862
2020-05-25,8632.93,8977.0,8715.69,8899.31,12328.24203695
2020-05-26,8694.23,9016.99,8900.0,8844.42,11507.43097855
2020-05-27,8811.46,9230.0,8844.41,9208.53,10936.67835282
2020-05-28,9112.0,9625.0,9208.53,9580.19,14511.07649252
2020-05-29,9330.01,9609.02,9580.01,9423.84,10415.42644355
2020-05-30,9326.43,9764.0,9423.85,9700.33,10509.69814742
2020-05-31,9369.58,9705.6,9700.32,9446.57,7944.71669301
2020-06-01,9417.42,10428.0,9445.83,10208.96,21676.60828748
2020-06-02,9270.0,10237.6,10208.96,9522.46,33220.58268645
2020-06-03,9385.22,9695.0,9521.53,9668.07,11446.72193696
2020-06-04,9450.0,9888.0,9668.06,9788.03,12441.27298837
2020-06-05,9585.44,9855.0,9791.96,9613.21,12495.89785858
2020-06-06,9526.03,9735.13,9613.42,9671.7,6501.31731671
2020-06-07,9370.0,9822.0,9670.28,9750.12,11628.94527829
2020-06-08,9632.79,9815.0,9750.12,9781.51,8533.83614916
2020-06-09,9567.33,9886.0,9781.51,9779.41,10329.87714811
2020-06-10,9690.0,10018.67,9779.7,9894.04,12965.42597405
2020-06-11,9050.0,9973.25,9894.35,9268.16,26779.8793933
2020-06-12,9227.0,9552.87,9268.16,9464.17,10992.51647836
2020-06-13,9346.0,9494.45,9464.71,9475.0,4581.79206303
2020-06-14,9240.0,9481.0,9475.0,9325.0,4829.79726322
2020-06-15,8895.01,9499.0,9328.63,9432.53,18589.28586581
2020-06-16,9381.0,9592.04,9432.57,9526.25,10345.29526997
2020-06-17,9227.03,9558.48,9526.25,9457.51,8937.92623229
2020-06-18,9267.18,9482.66,9457.51,9376.14,6300.5664912
2020-06-19,9229.0,9430.0,9376.14,9301.91,7871.9637482
2020-06-20,9161.0,9391.71,9300.42,9355.74,6900.60934146
2020-06-21,9273.0,9419.35,9355.74,9286.14,3088.66849893
2020-06-22,9267.58,9792.0,9286.14,9690.74,11775.73858785
2020-06-23,9572.22,9724.53,9690.67,9623.56,7946.97355694
2020-06-24,9195.0,9663.38,9623.56,9285.91,13410.75869027
2020-06-25,8979.07,9335.0,9285.94,9243.51,13529.05626726
2020-06-26,9027.62,9291.73,9242.98,9155.42,10702.37319002
2020-06-27,8815.01,9188.14,9155.42,9002.46,8507.26840968
2020-06-28,8931.77,9189.0,9002.38,9113.24,5537.7575057
2020-06-29,9014.0,9236.75,9113.23,9184.45,8658.42672493
2020-06-30,9059.6,9201.0,9188.79,9136.2,6820.86740899
2020-07-01,9088.0,9297.2,9135.91,9239.97,7550.15999655
2020-07-02,8938.0,9265.0,9239.41,9091.53,10774.18558946
2020-07-03,9036.74,9126.12,9091.98,9063.87,7738.46972112
2020-07-04,9039.84,9195.84,9059.73,9138.51,5300.78823324
2020-07-05,8905.84,9145.0,9138.51,9074.39,4601.32645918
2020-07-06,9061.59,9375.9,9074.37,9343.31,9959.28200198
2020-07-07,9201.57,9379.34,9343.31,9253.94,6326.83865418
2020-07-08,9232.2,9475.0,9253.94,9435.28,10135.31536748
2020-07-09,9154.79,9446.62,9435.28,9236.95,8450.14110132
2020-07-10,9118.0,9322.23,9236.95,9291.05,6892.47061091
2020-07-11,9182.35,9303.04,9291.04,9235.0,3369.21728725
2020-07-12,9159.33,9347.53,9235.0,9303.37,5419.21357745
2020-07-13,9193.52,9339.61,9303.38,9236.92,8698.43618823
2020-07-14,9100.0,9280.0,9236.91,9256.94,7497.56309216
2020-07-15,9154.01,9273.98,9256.94,9190.16,7196.32866271
2020-07-16,9005.0,9216.02,9190.8,9130.11,8765.69858912
2020-07-17,9054.99,9182.99,9130.93,9154.29,6423.74716202
