date,price_S&P,open_S&P,high_S&P,low_S&P,volume_S&P,change%_S&P
2021-11-26,"4,594.62","4,664.63","4,664.63","4,585.43",-,-2.27%
2021-11-24,"4,701.46","4,675.78","4,702.87","4,659.89",-,0.23%
2021-11-23,"4,690.70","4,678.48","4,699.39","4,652.66",-,0.17%
2021-11-22,"4,682.95","4,712.00","4,743.83","4,682.17",-,-0.32%
2021-11-19,"4,697.96","4,708.44","4,717.75","4,694.22",-,-0.18%
2021-11-18,"4,706.64","4,700.72","4,708.75","4,672.78",-,0.38%
2021-11-17,"4,688.67","4,701.50","4,701.50","4,684.41",-,-0.26%
2021-11-16,"4,700.90","4,679.42","4,714.95","4,679.42",-,0.39%
2021-11-15,"4,682.81","4,689.30","4,697.42","4,672.86",-,-0.00%
2021-11-12,"4,682.85","4,655.24","4,688.47","4,650.77",-,0.72%
2021-11-11,"4,649.27","4,659.39","4,664.55","4,648.31",-,0.06%
2021-11-10,"4,646.71","4,670.26","4,684.85","4,630.86",-,-0.82%
2021-11-09,"4,685.25","4,707.25","4,708.53","4,670.87",-,-0.35%
2021-11-08,"4,701.70","4,701.48","4,714.92","4,694.39",-,0.09%
2021-11-05,"4,697.53","4,699.26","4,718.50","4,681.32",-,0.37%
2021-11-04,"4,680.06","4,662.93","4,683.00","4,662.59",-,0.42%
2021-11-03,"4,660.57","4,630.65","4,663.46","4,621.19",-,0.65%
2021-11-02,"4,630.65","4,613.34","4,635.15","4,613.34",-,0.37%
2021-11-01,"4,613.67","4,610.62","4,620.34","4,595.06",-,0.18%
2021-10-29,"4,605.38","4,572.87","4,608.08","4,567.59",-,0.19%
2021-10-28,"4,596.42","4,562.84","4,597.55","4,562.84",-,0.98%
2021-10-27,"4,551.68","4,580.22","4,584.57","4,551.66",-,-0.51%
2021-10-26,"4,574.79","4,578.69","4,598.53","4,569.17",-,0.18%
2021-10-25,"4,566.48","4,553.69","4,572.62","4,537.36",-,0.47%
2021-10-22,"4,544.90","4,546.12","4,559.67","4,524.00",-,-0.11%
2021-10-21,"4,549.78","4,532.24","4,551.44","4,526.89",-,0.30%
2021-10-20,"4,536.19","4,524.42","4,540.87","4,524.40",-,0.37%
2021-10-19,"4,519.63","4,497.34","4,520.40","4,496.41",-,0.74%
2021-10-18,"4,486.48","4,463.72","4,488.75","4,447.47",-,0.34%
2021-10-15,"4,471.37","4,447.69","4,475.82","4,447.69",-,0.75%
2021-10-14,"4,438.23","4,386.75","4,439.73","4,386.75",-,1.71%
2021-10-13,"4,363.80","4,358.01","4,372.87","4,329.92",-,0.30%
2021-10-12,"4,350.64","4,368.31","4,374.89","4,342.09",-,-0.24%
2021-10-11,"4,361.19","4,385.44","4,415.88","4,360.59",-,-0.69%
2021-10-08,"4,391.36","4,406.51","4,412.02","4,386.22",-,-0.19%
2021-10-07,"4,399.76","4,383.73","4,429.97","4,383.73",-,0.83%
2021-10-06,"4,363.55","4,319.57","4,365.57","4,290.49",-,0.41%
2021-10-05,"4,345.72","4,309.87","4,369.23","4,309.87",-,1.05%
2021-10-04,"4,300.46","4,348.84","4,355.51","4,278.94",-,-1.30%
2021-10-01,"4,357.05","4,317.16","4,375.19","4,288.52",-,1.15%
2021-09-30,"4,307.54","4,370.67","4,382.55","4,306.24",-,-1.19%
2021-09-29,"4,359.46","4,362.41","4,385.57","4,355.08",-,0.16%
2021-09-28,"4,352.63","4,419.54","4,419.54","4,346.33",-,-2.04%
2021-09-27,"4,443.11","4,442.12","4,457.30","4,436.19",-,-0.28%
2021-09-24,"4,455.48","4,438.04","4,463.12","4,430.27",-,0.15%
2021-09-23,"4,448.98","4,406.75","4,465.40","4,406.75",-,1.21%
2021-09-22,"4,395.64","4,367.43","4,416.75","4,367.43",-,0.95%
2021-09-21,"4,354.18","4,374.45","4,394.87","4,347.96",-,-0.08%
2021-09-20,"4,357.73","4,402.95","4,402.95","4,305.91",-,-1.70%
2021-09-17,"4,432.99","4,469.74","4,471.52","4,427.76",-,-0.91%
2021-09-16,"4,473.76","4,477.09","4,485.87","4,443.80",-,-0.15%
2021-09-15,"4,480.70","4,447.49","4,486.87","4,438.37",-,0.85%
2021-09-14,"4,443.05","4,479.33","4,485.68","4,435.46",-,-0.57%
2021-09-13,"4,468.73","4,474.81","4,492.99","4,445.70",-,0.23%
2021-09-10,"4,458.58","4,506.92","4,520.47","4,457.66",-,-0.77%
2021-09-09,"4,493.28","4,513.02","4,529.90","4,492.07",-,-0.46%
2021-09-08,"4,514.07","4,518.09","4,521.79","4,493.95",-,-0.13%
2021-09-07,"4,520.03","4,535.38","4,535.38","4,513.00",-,-0.34%
2021-09-03,"4,535.43","4,532.42","4,541.45","4,521.30",-,-0.03%
2021-09-02,"4,536.95","4,534.48","4,545.85","4,524.66",-,0.28%
2021-09-01,"4,524.09","4,528.80","4,537.11","4,522.02",-,0.03%
2021-08-31,"4,522.68","4,529.75","4,531.39","4,515.80",-,-0.13%
2021-08-30,"4,528.79","4,513.76","4,537.36","4,513.76",-,0.43%
2021-08-27,"4,509.37","4,474.10","4,513.33","4,474.10",-,0.88%
2021-08-26,"4,469.91","4,493.75","4,495.90","4,468.99",-,-0.58%
2021-08-25,"4,496.19","4,490.45","4,501.71","4,485.66",-,0.22%
2021-08-24,"4,486.23","4,484.40","4,492.81","4,482.28",-,0.15%
2021-08-23,"4,479.54","4,450.29","4,489.88","4,450.29",-,0.85%
2021-08-20,"4,441.67","4,410.56","4,444.35","4,406.80",-,0.81%
2021-08-19,"4,405.80","4,382.44","4,418.61","4,367.73",-,0.13%
2021-08-18,"4,400.27","4,440.94","4,454.32","4,397.59",-,-1.07%
2021-08-17,"4,448.08","4,462.12","4,462.12","4,417.83",-,-0.70%
2021-08-16,"4,479.66","4,461.65","4,480.26","4,437.66",-,0.26%
