date,topic_ratio,exposure_ratio,panic_index
2022-01-23,0.9500000000000001,11.48,1.24
2022-01-22,3.95,0.7,1.3
2022-01-21,3.06,0.12,1.34
2022-01-20,2.5,1.21,1.46
2022-01-19,2.46,0.13,0.98
2022-01-18,1.9899999999999998,0.42,1.45
2022-01-17,0.30000000000000004,1.01,1.97
2022-01-16,0.62,1.36,1.86
2022-01-15,1.79,1.03,1.46
2022-01-14,2.63,0.44999999999999996,1.29
2022-01-13,1.53,0.52,1.4
2022-01-12,2.74,0.5,1.58
2022-01-11,1.76,0.55,1.44
2022-01-10,0.29000000000000004,0.56,1.37
2022-01-09,0.5700000000000001,1.57,2.01
2022-01-08,1.44,0.69,1.77
2022-01-07,1.78,0.5700000000000001,1.75
2022-01-06,2.46,0.44,1.8
2022-01-05,3.7600000000000002,0.5900000000000001,1.75
2022-01-04,3.04,0.29,1.74
2022-01-03,0.18,0.66,2.1
2022-01-02,0.4,1.25,1.51
2022-01-01,2.4400000000000004,1.0899999999999999,1.87
2021-12-31,3.4299999999999997,0.92,1.97
2021-12-30,4.12,0.48,1.51
2021-12-29,3.1500000000000004,0.43,1.6
2021-12-28,2.85,0.62,1.78
2021-12-27,0.12,0.44999999999999996,1.7
2021-12-26,0.44,1.19,2.4
2021-12-25,1.31,0.9199999999999999,1.99
2021-12-24,2.9699999999999998,1.31,1.61
2021-12-23,2.67,1.14,1.55
2021-12-22,2.59,0.5700000000000001,1.8
2021-12-21,4.31,0.43000000000000005,1.54
2021-12-19,0.6,1.46,1.86
2021-12-18,3.1199999999999997,0.58,1.38
2021-12-17,1.8900000000000001,0.67,1.95
2021-12-16,3.36,0.63,1.15
2021-12-15,4.6899999999999995,0.27,0.94
2021-12-14,3.26,0.84,0.99
2021-12-13,0.35,0.72,0.86
2021-12-12,0.5800000000000001,1.23,0.9
2021-12-11,4.0600000000000005,0.8300000000000001,1.04
2021-12-10,4.67,1.4300000000000002,1.15
2021-12-09,5.16,1.05,0.98
2021-12-08,3.31,1.3599999999999999,1.01
2021-12-07,3.99,1.08,1.34
2021-12-06,0.71,1.56,1.42
2021-12-05,0.91,7.37,1.64
2021-12-04,5.14,0.8600000000000001,2.2
2021-12-03,3.35,0.38,1.91
2021-12-02,4.5600000000000005,0.6799999999999999,1.8
2021-12-01,3.9,0.56,2.42
2021-11-30,5.300000000000001,1.21,2.86
2021-11-29,0.62,0.54,3.03
2021-11-28,1.32,1.11,3.41
2021-11-27,12.18,1.12,2.0
2021-11-26,2.02,0.5800000000000001,1.02
2021-11-25,4.4399999999999995,0.14,0.95
2021-11-24,2.57,0.41000000000000003,0.61
2021-11-23,4.880000000000001,0.74,0.8
2021-11-22,2.4699999999999998,0.36,1.33
2021-11-21,0.77,0.38,0.83
2021-11-20,4.029999999999999,0.15,1.22
2021-11-18,2.05,0.6000000000000001,0.79
2021-11-17,3.0300000000000002,0.47,0.78
2021-11-16,1.94,0.9,0.76
2021-11-15,0.39999999999999997,0.63,1.63
2021-11-14,0.8999999999999999,2.0700000000000003,0.7
2021-11-13,5.25,0.44,0.87
2021-11-12,1.91,0.6799999999999999,0.9
2021-11-11,1.48,0.81,0.78
2021-11-10,2.14,1.44,0.93
2021-11-09,2.5999999999999996,1.32,1.22
2021-11-08,0.54,1.66,1.15
2021-11-07,1.19,1.58,1.09
2021-11-06,5.5,0.42,0.88
2021-11-05,3.34,0.44000000000000006,1.02
2021-11-04,1.58,0.21,1.1
2021-11-03,3.5599999999999996,0.63,0.82
2021-11-02,3.09,0.28,0.98
2021-11-01,0.57,0.37,0.8
2021-10-31,0.6599999999999999,2.2399999999999998,1.58
2021-10-30,2.8,0.9500000000000001,1.27
2021-10-29,3.92,0.71,1.04
2021-10-28,2.4000000000000004,0.5,0.77
2021-10-27,2.9499999999999997,0.33999999999999997,1.21
2021-10-26,4.08,0.79,0.71
2021-10-25,0.5800000000000001,0.24,1.09
2021-10-24,0.43000000000000005,2.02,1.09
2021-10-23,1.8199999999999998,0.35,1.02
2021-10-22,2.94,0.47000000000000003,0.8
2021-10-21,5.5,0.75,0.84
2021-10-20,4.36,0.8,0.81
2021-10-19,3.54,2.11,0.87
2021-10-18,0.47,0.45,0.88
2021-10-17,0.87,0.77,1.08
2021-10-16,3.08,2.36,0.92
2021-10-15,1.91,0.32999999999999996,1.16
2021-10-14,2.56,0.46,0.82
2021-10-13,4.21,0.5900000000000001,0.68
2021-10-12,2.95,0.58,1.06
2021-10-11,0.22,0.32,1.36
2021-10-10,0.51,0.26,1.18
2021-10-09,1.98,0.24,1.41
2021-10-08,2.47,0.36,1.08
2021-10-07,3.82,1.04,1.27
2021-10-06,4.46,0.47,1.16
2021-10-05,4.6899999999999995,0.51,0.83
2021-10-04,0.39,0.3,1.02
2021-10-03,0.71,1.32,1.78
2021-10-02,3.73,0.36,1.48
2021-10-01,4.699999999999999,0.64,1.4
2021-09-30,2.6100000000000003,0.54,1.56
2021-09-29,3.7,0.8700000000000001,1.68
2021-09-28,2.58,1.0499999999999998,1.46
2021-09-27,0.32,1.07,1.63
2021-09-26,0.54,1.9699999999999998,1.46
2021-09-25,2.13,1.22,1.72
2021-09-24,2.82,0.13,1.27
2021-09-23,3.79,0.17,1.71
2021-09-22,4.0,0.24,1.37
2021-09-21,3.52,0.47,1.15
2021-09-20,0.42000000000000004,2.09,1.2
2021-09-19,0.55,0.77,1.64
2021-09-18,2.8,1.2,1.72
2021-09-17,2.69,0.12,1.59
2021-09-16,3.77,0.65,1.79
2021-09-15,2.0,0.23,1.26
2021-09-14,4.1899999999999995,1.09,1.06
2021-09-13,0.32,0.43,1.24
2021-09-12,0.4,0.67,1.0
2021-09-11,3.59,0.4,2.01
2021-09-10,3.33,3.57,1.69
2021-09-09,3.5,11.459999999999999,1.57
2021-09-08,2.42,0.33,1.44
2021-09-07,1.94,0.2,1.26
2021-09-05,0.39,0.69,1.84
2021-09-04,1.8900000000000001,0.89,1.54
2021-09-03,2.5,0.34,1.2
2021-09-02,2.46,0.22,0.98
2021-09-01,2.63,0.23,1.73
2021-08-31,1.94,0.37,1.25
2021-08-30,0.11,0.43000000000000005,1.24
2021-08-29,0.43,0.2,2.36
2021-08-28,3.38,0.61,1.66
2021-08-27,2.17,0.37,2.01
2021-08-26,2.1,0.56,1.62
2021-08-25,3.63,0.48,1.71
2021-08-24,3.8600000000000003,1.02,1.81
2021-08-23,0.41000000000000003,0.14,1.32
2021-08-22,0.46,1.17,1.91
2021-08-21,3.9000000000000004,0.99,2.46
2021-08-20,4.91,0.37,1.46
2021-08-19,2.8499999999999996,0.92,1.58
2021-08-18,2.73,0.33999999999999997,2.2
2021-08-17,3.33,0.3,2.22
2021-08-16,0.35,0.32,2.78
2021-08-15,0.79,0.95,2.7
2021-08-14,4.46,0.43,1.56
2021-08-13,3.42,4.6499999999999995,1.63
2021-08-12,2.58,3.3,2.31
2021-08-11,3.55,0.88,1.81
2021-08-10,3.3,1.28,1.53
2021-08-09,0.12,0.72,2.04
