"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2021","4,594.62","4,664.63","4,664.63","4,585.43","-","-2.27%"
"Nov 24, 2021","4,701.46","4,675.78","4,702.87","4,659.89","-","0.23%"
"Nov 23, 2021","4,690.70","4,678.48","4,699.39","4,652.66","-","0.17%"
"Nov 22, 2021","4,682.95","4,712.00","4,743.83","4,682.17","-","-0.32%"
"Nov 19, 2021","4,697.96","4,708.44","4,717.75","4,694.22","-","-0.18%"
"Nov 18, 2021","4,706.64","4,700.72","4,708.75","4,672.78","-","0.38%"
"Nov 17, 2021","4,688.67","4,701.50","4,701.50","4,684.41","-","-0.26%"
"Nov 16, 2021","4,700.90","4,679.42","4,714.95","4,679.42","-","0.39%"
"Nov 15, 2021","4,682.81","4,689.30","4,697.42","4,672.86","-","-0.00%"
"Nov 12, 2021","4,682.85","4,655.24","4,688.47","4,650.77","-","0.72%"
"Nov 11, 2021","4,649.27","4,659.39","4,664.55","4,648.31","-","0.06%"
"Nov 10, 2021","4,646.71","4,670.26","4,684.85","4,630.86","-","-0.82%"
"Nov 09, 2021","4,685.25","4,707.25","4,708.53","4,670.87","-","-0.35%"
"Nov 08, 2021","4,701.70","4,701.48","4,714.92","4,694.39","-","0.09%"
"Nov 05, 2021","4,697.53","4,699.26","4,718.50","4,681.32","-","0.37%"
"Nov 04, 2021","4,680.06","4,662.93","4,683.00","4,662.59","-","0.42%"
"Nov 03, 2021","4,660.57","4,630.65","4,663.46","4,621.19","-","0.65%"
"Nov 02, 2021","4,630.65","4,613.34","4,635.15","4,613.34","-","0.37%"
"Nov 01, 2021","4,613.67","4,610.62","4,620.34","4,595.06","-","0.18%"
"Oct 29, 2021","4,605.38","4,572.87","4,608.08","4,567.59","-","0.19%"
"Oct 28, 2021","4,596.42","4,562.84","4,597.55","4,562.84","-","0.98%"
"Oct 27, 2021","4,551.68","4,580.22","4,584.57","4,551.66","-","-0.51%"
"Oct 26, 2021","4,574.79","4,578.69","4,598.53","4,569.17","-","0.18%"
"Oct 25, 2021","4,566.48","4,553.69","4,572.62","4,537.36","-","0.47%"
"Oct 22, 2021","4,544.90","4,546.12","4,559.67","4,524.00","-","-0.11%"
"Oct 21, 2021","4,549.78","4,532.24","4,551.44","4,526.89","-","0.30%"
"Oct 20, 2021","4,536.19","4,524.42","4,540.87","4,524.40","-","0.37%"
"Oct 19, 2021","4,519.63","4,497.34","4,520.40","4,496.41","-","0.74%"
"Oct 18, 2021","4,486.48","4,463.72","4,488.75","4,447.47","-","0.34%"
"Oct 15, 2021","4,471.37","4,447.69","4,475.82","4,447.69","-","0.75%"
"Oct 14, 2021","4,438.23","4,386.75","4,439.73","4,386.75","-","1.71%"
"Oct 13, 2021","4,363.80","4,358.01","4,372.87","4,329.92","-","0.30%"
"Oct 12, 2021","4,350.64","4,368.31","4,374.89","4,342.09","-","-0.24%"
"Oct 11, 2021","4,361.19","4,385.44","4,415.88","4,360.59","-","-0.69%"
"Oct 08, 2021","4,391.36","4,406.51","4,412.02","4,386.22","-","-0.19%"
"Oct 07, 2021","4,399.76","4,383.73","4,429.97","4,383.73","-","0.83%"
"Oct 06, 2021","4,363.55","4,319.57","4,365.57","4,290.49","-","0.41%"
"Oct 05, 2021","4,345.72","4,309.87","4,369.23","4,309.87","-","1.05%"
"Oct 04, 2021","4,300.46","4,348.84","4,355.51","4,278.94","-","-1.30%"
"Oct 01, 2021","4,357.05","4,317.16","4,375.19","4,288.52","-","1.15%"
"Sep 30, 2021","4,307.54","4,370.67","4,382.55","4,306.24","-","-1.19%"
"Sep 29, 2021","4,359.46","4,362.41","4,385.57","4,355.08","-","0.16%"
"Sep 28, 2021","4,352.63","4,419.54","4,419.54","4,346.33","-","-2.04%"
"Sep 27, 2021","4,443.11","4,442.12","4,457.30","4,436.19","-","-0.28%"
"Sep 24, 2021","4,455.48","4,438.04","4,463.12","4,430.27","-","0.15%"
"Sep 23, 2021","4,448.98","4,406.75","4,465.40","4,406.75","-","1.21%"
"Sep 22, 2021","4,395.64","4,367.43","4,416.75","4,367.43","-","0.95%"
"Sep 21, 2021","4,354.18","4,374.45","4,394.87","4,347.96","-","-0.08%"
"Sep 20, 2021","4,357.73","4,402.95","4,402.95","4,305.91","-","-1.70%"
"Sep 17, 2021","4,432.99","4,469.74","4,471.52","4,427.76","-","-0.91%"
"Sep 16, 2021","4,473.76","4,477.09","4,485.87","4,443.80","-","-0.15%"
"Sep 15, 2021","4,480.70","4,447.49","4,486.87","4,438.37","-","0.85%"
"Sep 14, 2021","4,443.05","4,479.33","4,485.68","4,435.46","-","-0.57%"
"Sep 13, 2021","4,468.73","4,474.81","4,492.99","4,445.70","-","0.23%"
"Sep 10, 2021","4,458.58","4,506.92","4,520.47","4,457.66","-","-0.77%"
"Sep 09, 2021","4,493.28","4,513.02","4,529.90","4,492.07","-","-0.46%"
"Sep 08, 2021","4,514.07","4,518.09","4,521.79","4,493.95","-","-0.13%"
"Sep 07, 2021","4,520.03","4,535.38","4,535.38","4,513.00","-","-0.34%"
"Sep 03, 2021","4,535.43","4,532.42","4,541.45","4,521.30","-","-0.03%"
"Sep 02, 2021","4,536.95","4,534.48","4,545.85","4,524.66","-","0.28%"
"Sep 01, 2021","4,524.09","4,528.80","4,537.11","4,522.02","-","0.03%"
"Aug 31, 2021","4,522.68","4,529.75","4,531.39","4,515.80","-","-0.13%"
"Aug 30, 2021","4,528.79","4,513.76","4,537.36","4,513.76","-","0.43%"
"Aug 27, 2021","4,509.37","4,474.10","4,513.33","4,474.10","-","0.88%"
"Aug 26, 2021","4,469.91","4,493.75","4,495.90","4,468.99","-","-0.58%"
"Aug 25, 2021","4,496.19","4,490.45","4,501.71","4,485.66","-","0.22%"
"Aug 24, 2021","4,486.23","4,484.40","4,492.81","4,482.28","-","0.15%"
"Aug 23, 2021","4,479.54","4,450.29","4,489.88","4,450.29","-","0.85%"
"Aug 20, 2021","4,441.67","4,410.56","4,444.35","4,406.80","-","0.81%"
"Aug 19, 2021","4,405.80","4,382.44","4,418.61","4,367.73","-","0.13%"
"Aug 18, 2021","4,400.27","4,440.94","4,454.32","4,397.59","-","-1.07%"
"Aug 17, 2021","4,448.08","4,462.12","4,462.12","4,417.83","-","-0.70%"
"Aug 16, 2021","4,479.66","4,461.65","4,480.26","4,437.66","-","0.26%"
"Aug 13, 2021","4,468.00","4,464.84","4,468.37","4,460.82","-","0.16%"
"Aug 12, 2021","4,460.84","4,446.08","4,461.77","4,435.96","-","0.30%"
"Aug 11, 2021","4,447.70","4,442.18","4,449.44","4,436.42","-","0.25%"
"Aug 10, 2021","4,436.75","4,435.79","4,445.21","4,430.03","-","0.10%"
"Aug 09, 2021","4,432.35","4,437.77","4,439.39","4,424.74","-","-0.09%"
"Aug 06, 2021","4,436.52","4,429.07","4,440.82","4,429.07","-","0.17%"
"Aug 05, 2021","4,429.10","4,408.86","4,429.76","4,408.86","-","0.60%"
"Aug 04, 2021","4,402.68","4,415.95","4,416.17","4,400.23","-","-0.46%"
"Aug 03, 2021","4,423.15","4,392.74","4,423.79","4,373.00","-","0.82%"
"Aug 02, 2021","4,387.11","4,406.86","4,422.18","4,384.81","-","-0.19%"
"Jul 30, 2021","4,395.26","4,395.12","4,412.25","4,389.65","-","-0.54%"
"Jul 29, 2021","4,419.15","4,403.59","4,429.97","4,403.59","-","0.42%"
"Jul 28, 2021","4,400.65","4,402.95","4,415.47","4,387.01","-","-0.02%"
"Jul 27, 2021","4,401.46","4,416.38","4,416.38","4,372.51","-","-0.47%"
"Jul 26, 2021","4,422.23","4,409.58","4,422.73","4,405.45","-","0.24%"
"Jul 23, 2021","4,411.80","4,381.20","4,415.18","4,381.20","-","1.01%"
"Jul 22, 2021","4,367.48","4,361.27","4,369.31","4,350.06","-","0.20%"
"Jul 21, 2021","4,358.69","4,331.13","4,359.70","4,331.13","-","0.82%"
"Jul 20, 2021","4,323.21","4,265.11","4,336.84","4,262.05","-","1.52%"
"Jul 19, 2021","4,258.63","4,296.40","4,296.40","4,233.13","-","-1.58%"
"Jul 16, 2021","4,327.16","4,367.43","4,375.09","4,322.53","-","-0.75%"
"Jul 15, 2021","4,360.03","4,369.02","4,369.02","4,340.70","-","-0.33%"
"Jul 14, 2021","4,374.30","4,380.11","4,393.68","4,362.36","-","0.12%"
"Jul 13, 2021","4,369.21","4,381.07","4,392.37","4,366.92","-","-0.35%"
"Jul 12, 2021","4,384.63","4,372.41","4,386.68","4,364.03","-","0.35%"
"Jul 09, 2021","4,369.55","4,329.38","4,371.60","4,329.38","-","1.13%"
"Jul 08, 2021","4,320.82","4,321.07","4,330.88","4,289.37","-","-0.86%"
"Jul 07, 2021","4,358.13","4,351.01","4,361.88","4,329.79","-","0.34%"
"Jul 06, 2021","4,343.54","4,356.46","4,356.46","4,314.37","-","-0.20%"
"Jul 02, 2021","4,352.34","4,326.60","4,355.43","4,326.60","-","0.75%"
"Jul 01, 2021","4,319.94","4,300.73","4,320.66","4,300.73","-","0.52%"
"Jun 30, 2021","4,297.50","4,290.65","4,302.43","4,287.96","-","0.13%"
"Jun 29, 2021","4,291.80","4,293.21","4,300.52","4,287.04","-","0.03%"
"Jun 28, 2021","4,290.61","4,284.90","4,292.14","4,274.67","-","0.23%"
"Jun 25, 2021","4,280.70","4,274.45","4,286.12","4,271.16","-","0.33%"
"Jun 24, 2021","4,266.49","4,256.97","4,271.28","4,256.97","-","0.58%"
"Jun 23, 2021","4,241.84","4,249.27","4,256.60","4,241.43","-","-0.11%"
"Jun 22, 2021","4,246.44","4,224.61","4,255.84","4,217.27","-","0.51%"
"Jun 21, 2021","4,224.79","4,173.40","4,226.24","4,173.40","-","1.40%"
"Jun 18, 2021","4,166.45","4,204.78","4,204.78","4,164.40","-","-1.31%"
"Jun 17, 2021","4,221.86","4,220.37","4,232.29","4,196.05","-","-0.04%"
"Jun 16, 2021","4,223.70","4,248.87","4,251.89","4,202.45","-","-0.54%"
"Jun 15, 2021","4,246.59","4,255.28","4,257.16","4,238.35","-","-0.20%"
"Jun 14, 2021","4,255.15","4,248.31","4,255.59","4,234.07","-","0.18%"
"Jun 11, 2021","4,247.44","4,242.90","4,248.38","4,232.25","-","0.19%"
"Jun 10, 2021","4,239.18","4,228.56","4,249.74","4,220.34","-","0.47%"
"Jun 09, 2021","4,219.55","4,232.99","4,237.09","4,218.74","-","-0.18%"
"Jun 08, 2021","4,227.26","4,233.81","4,236.74","4,208.41","-","0.02%"
"Jun 07, 2021","4,226.52","4,229.34","4,232.34","4,215.66","-","-0.08%"
"Jun 04, 2021","4,229.89","4,206.05","4,233.45","4,206.05","-","0.88%"
"Jun 03, 2021","4,192.85","4,191.43","4,204.39","4,167.93","-","-0.36%"
"Jun 02, 2021","4,208.12","4,206.82","4,217.37","4,198.27","-","0.14%"
"Jun 01, 2021","4,202.04","4,216.52","4,234.12","4,197.59","-","-0.05%"
"May 28, 2021","4,204.11","4,210.77","4,218.36","4,203.57","-","0.08%"
"May 27, 2021","4,200.88","4,201.94","4,213.38","4,197.78","-","0.12%"
"May 26, 2021","4,195.99","4,191.59","4,202.61","4,184.11","-","0.19%"
"May 25, 2021","4,188.13","4,205.94","4,213.42","4,182.52","-","-0.21%"
"May 24, 2021","4,197.05","4,170.16","4,209.52","4,170.16","-","0.99%"
"May 21, 2021","4,155.86","4,168.61","4,188.72","4,151.72","-","-0.08%"
"May 20, 2021","4,159.12","4,121.97","4,172.80","4,121.97","-","1.06%"
"May 19, 2021","4,115.68","4,098.45","4,116.93","4,061.41","-","-0.29%"
"May 18, 2021","4,127.83","4,165.94","4,169.15","4,125.99","-","-0.85%"
"May 17, 2021","4,163.29","4,169.92","4,171.92","4,142.69","-","-0.25%"
"May 14, 2021","4,173.85","4,129.58","4,183.13","4,129.58","-","1.49%"
"May 13, 2021","4,112.50","4,074.99","4,131.58","4,074.99","-","1.22%"
"May 12, 2021","4,063.04","4,130.55","4,134.73","4,056.88","-","-2.14%"
"May 11, 2021","4,152.10","4,150.34","4,162.04","4,111.53","-","-0.87%"
"May 10, 2021","4,188.43","4,228.29","4,236.39","4,188.13","-","-1.04%"
"May 07, 2021","4,232.60","4,210.34","4,238.04","4,201.64","-","0.74%"
"May 06, 2021","4,201.62","4,169.14","4,202.70","4,147.33","-","0.82%"
"May 05, 2021","4,167.59","4,177.06","4,187.72","4,160.94","-","0.07%"
"May 04, 2021","4,164.66","4,179.04","4,179.04","4,128.59","-","-0.67%"
